Município,UF,chave,cd_mun,status
Capitão Leônidas Marques,PR,CAPITAO LEONIDAS MARQUES/PR,4104600,OK
Caldas Novas,GO,CALDAS NOVAS/GO,5204508,OK
Guapiaçu,SP,GUAPIACU/SP,3517505,OK
São Pedro,SP,SAO PEDRO/SP,3550407,OK
Riolândia,SP,RIOLANDIA/SP,3544202,OK
Santa Bárbara,MG,SANTA BARBARA/MG,3157203,OK
São Jorge,RS,SAO JORGE/RS,4318440,OK
Cerro Largo,RS,CERRO LARGO/RS,4305207,OK
Aurilândia,GO,AURILANDIA/GO,5202601,OK
Chapada,RS,CHAPADA/RS,4305306,OK
Formosa,GO,FORMOSA/GO,5208004,OK
Capela do Alto,SP,CAPELA DO ALTO/SP,3510302,OK
Estância Velha,RS,ESTANCIA VELHA/RS,4307609,OK
Martinho Campos,MG,MARTINHO CAMPOS/MG,3140506,OK
Cidade Gaúcha,PR,CIDADE GAUCHA/PR,4105607,OK
Santa Rosa,RS,SANTA ROSA/RS,4317202,OK
Palestina,SP,PALESTINA/SP,3535002,OK
Arroio Trinta,SC,ARROIO TRINTA/SC,4201604,OK
Monte Carmelo,MG,MONTE CARMELO/MG,3143104,OK
Paulista,PE,PAULISTA/PE,2610707,OK
Flórida Paulista,SP,FLORIDA PAULISTA/SP,3516002,OK
Igaraçu do Tietê,SP,IGARACU DO TIETE/SP,3520004,OK
Tabapuã,SP,TABAPUA/SP,3552601,OK
Brejo Santo,CE,BREJO SANTO/CE,2302503,OK
Guaçuí,ES,GUACUI/ES,3202306,OK
Vera Cruz,RS,VERA CRUZ/RS,4322707,OK
Novo Gama,GO,NOVO GAMA/GO,5215231,OK
Videira,SC,VIDEIRA/SC,4219309,OK
São Pedro da União,MG,SAO PEDRO DA UNIAO/MG,3163904,OK
Comendador Levy Gasparian,RJ,COMENDADOR LEVY GASPARIAN/RJ,3300951,OK
Senador Cortes,MG,SENADOR CORTES/MG,3165602,OK
Coronel Xavier Chaves,MG,CORONEL XAVIER CHAVES/MG,3119708,OK
Estrela,RS,ESTRELA/RS,4307807,OK
Arroio Grande,RS,ARROIO GRANDE/RS,4301305,OK
Promissão,SP,PROMISSAO/SP,3541604,OK
São Félix do Piauí,PI,SAO FELIX DO PIAUI/PI,2209609,OK
Ewbank da Câmara,MG,EWBANK DA CAMARA/MG,3125002,OK
São Bento Abade,MG,SAO BENTO ABADE/MG,3160801,OK
Itaju,SP,ITAJU/SP,3522000,OK
Barão de Antonina,SP,BARAO DE ANTONINA/SP,3505005,OK
Mirandópolis,SP,MIRANDOPOLIS/SP,3530102,OK
São Leopoldo,RS,SAO LEOPOLDO/RS,4318705,OK
Mercedes,PR,MERCEDES/PR,4115853,OK
Bento Gonçalves,RS,BENTO GONCALVES/RS,4302105,OK
Rianápolis,GO,RIANAPOLIS/GO,5218706,OK
Nacip Raydan,MG,NACIP RAYDAN/MG,3144201,OK
Anta Gorda,RS,ANTA GORDA/RS,4300703,OK
Bandeira do Sul,MG,BANDEIRA DO SUL/MG,3105301,OK
Canas,SP,CANAS/SP,3509957,OK
Nova Russas,CE,NOVA RUSSAS/CE,2309300,OK
Marema,SC,MAREMA/SC,4210555,OK
Itabirito,MG,ITABIRITO/MG,3131901,OK
Cardoso,SP,CARDOSO/SP,3510708,OK
Emas,PB,EMAS/PB,2505907,OK
Vespasiano,MG,VESPASIANO/MG,3171204,OK
Tapejara,RS,TAPEJARA/RS,4320909,OK
Cafeara,PR,CAFEARA/PR,4103404,OK
Registro,SP,REGISTRO/SP,3542602,OK
Jaborá,SC,JABORA/SC,4208609,OK
Vista Alegre do Prata,RS,VISTA ALEGRE DO PRATA/RS,4323606,OK
Apiaí,SP,APIAI/SP,3502705,OK
Pedra do Indaiá,MG,PEDRA DO INDAIA/MG,3148905,OK
Carnaúba dos Dantas,RN,CARNAUBA DOS DANTAS/RN,2402402,OK
Ilópolis,RS,ILOPOLIS/RS,4310306,OK
Chuí,RS,CHUI/RS,4305439,OK
Unaí,MG,UNAI/MG,3170404,OK
Barão de Cotegipe,RS,BARAO DE COTEGIPE/RS,4301701,OK
São Tomás de Aquino,MG,SAO TOMAS DE AQUINO/MG,3165107,OK
Serranos,MG,SERRANOS/MG,3167004,OK
Panambi,RS,PANAMBI/RS,4313904,OK
Santa Cruz da Conceição,SP,SANTA CRUZ DA CONCEICAO/SP,3546207,OK
Alto Taquari,MT,ALTO TAQUARI/MT,5100607,OK
São Gotardo,MG,SAO GOTARDO/MG,3162104,OK
Palmitos,SC,PALMITOS/SC,4212106,OK
Jardim do Seridó,RN,JARDIM DO SERIDO/RN,2405702,OK
Passos,MG,PASSOS/MG,3147907,OK
Mariópolis,PR,MARIOPOLIS/PR,4115309,OK
Santo Antônio do Monte,MG,SANTO ANTONIO DO MONTE/MG,3160405,OK
Lutécia,SP,LUTECIA/SP,3527900,OK
Tamboara,PR,TAMBOARA/PR,4126702,OK
Indianópolis,MG,INDIANOPOLIS/MG,3130705,OK
Cruzília,MG,CRUZILIA/MG,3120805,OK
Seritinga,MG,SERITINGA/MG,3166402,OK
Coroados,SP,COROADOS/SP,3512506,OK
Vale Real,RS,VALE REAL/RS,4322541,OK
Cachoeira de Goiás,GO,CACHOEIRA DE GOIAS/GO,5204201,OK
Rodeio Bonito,RS,RODEIO BONITO/RS,4315909,OK
Chavantes,SP,CHAVANTES/SP,3557204,OK
Paraíba do Sul,RJ,PARAIBA DO SUL/RJ,3303708,OK
Santo Antônio da Platina,PR,SANTO ANTONIO DA PLATINA/PR,4124103,OK
Salto de Pirapora,SP,SALTO DE PIRAPORA/SP,3545308,OK
Avanhandava,SP,AVANHANDAVA/SP,3504404,OK
Apucarana,PR,APUCARANA/PR,4101408,OK
Lambari,MG,LAMBARI/MG,3137809,OK
Iporã do Oeste,SC,IPORA DO OESTE/SC,4207650,OK
Gravataí,RS,GRAVATAI/RS,4309209,OK
Campo Limpo de Goiás,GO,CAMPO LIMPO DE GOIAS/GO,5204854,OK
Mossâmedes,GO,MOSSAMEDES/GO,5213905,OK
Morro Grande,SC,MORRO GRANDE/SC,4211256,OK
Itapoá,SC,ITAPOA/SC,4208450,OK
Itaguajé,PR,ITAGUAJE/PR,4110904,OK
Caçador,SC,CACADOR/SC,4203006,OK
Capão Bonito,SP,CAPAO BONITO/SP,3510203,OK
Imigrante,RS,IMIGRANTE/RS,4310363,OK
Martins,RN,MARTINS/RN,2407401,OK
Itambaracá,PR,ITAMBARACA/PR,4111001,OK
Curvelo,MG,CURVELO/MG,3120904,OK
Alto Alegre,SP,ALTO ALEGRE/SP,3501103,OK
Jataí,GO,JATAI/GO,5211909,OK
São João do Sabugi,RN,SAO JOAO DO SABUGI/RN,2412104,OK
Nova Granada,SP,NOVA GRANADA/SP,3533007,OK
Camocim,CE,CAMOCIM/CE,2302602,OK
Angélica,MS,ANGELICA/MS,5000856,OK
Içara,SC,ICARA/SC,4207007,OK
Conselheiro Mairinck,PR,CONSELHEIRO MAIRINCK/PR,4106100,OK
Itaguara,MG,ITAGUARA/MG,3132206,OK
Ponta Grossa,PR,PONTA GROSSA/PR,4119905,OK
Três Pontas,MG,TRES PONTAS/MG,3169406,OK
Nova Bassano,RS,NOVA BASSANO/RS,4312906,OK
Serrania,MG,SERRANIA/MG,3166907,OK
Santo Antônio da Patrulha,RS,SANTO ANTONIO DA PATRULHA/RS,4317608,OK
Jaci,SP,JACI/SP,3524501,OK
Faria Lemos,MG,FARIA LEMOS/MG,3125309,OK
Campinas do Sul,RS,CAMPINAS DO SUL/RS,4303806,OK
Crato,CE,CRATO/CE,2304202,OK
Abadia dos Dourados,MG,ABADIA DOS DOURADOS/MG,3100104,OK
Poço de José de Moura,PB,POCO DE JOSE DE MOURA/PB,2512077,OK
Aparecida,SP,APARECIDA/SP,3502507,OK
Angatuba,SP,ANGATUBA/SP,3502200,OK
Fortaleza de Minas,MG,FORTALEZA DE MINAS/MG,3126307,OK
Caxias do Sul,RS,CAXIAS DO SUL/RS,4305108,OK
Telêmaco Borba,PR,TELEMACO BORBA/PR,4127106,OK
Arapeí,SP,ARAPEI/SP,3503158,OK
Paim Filho,RS,PAIM FILHO/RS,4313607,OK
Centenário,RS,CENTENARIO/RS,4305116,OK
Rondinha,RS,RONDINHA/RS,4316204,OK
Itabira,MG,ITABIRA/MG,3131703,OK
Icém,SP,ICEM/SP,3519808,OK
Muqui,ES,MUQUI/ES,3203809,OK
Itaberá,SP,ITABERA/SP,3521705,OK
Sete Lagoas,MG,SETE LAGOAS/MG,3167202,OK
Jardim Alegre,PR,JARDIM ALEGRE/PR,4112504,OK
Monte Carlo,SC,MONTE CARLO/SC,4211058,OK
Terra Boa,PR,TERRA BOA/PR,4127205,OK
Aperibé,RJ,APERIBE/RJ,3300159,OK
Serra Grande,PB,SERRA GRANDE/PB,2515708,OK
Israelândia,GO,ISRAELANDIA/GO,5210307,OK
Santa Albertina,SP,SANTA ALBERTINA/SP,3545704,OK
Monte Santo de Minas,MG,MONTE SANTO DE MINAS/MG,3143203,OK
Petrolina,PE,PETROLINA/PE,2611101,OK
Terra Roxa,PR,TERRA ROXA/PR,4127403,OK
Vargeão,SC,VARGEAO/SC,4219101,OK
Matrinchã,GO,MATRINCHA/GO,5212956,OK
Vargem Bonita,SC,VARGEM BONITA/SC,4219176,OK
Adelândia,GO,ADELANDIA/GO,5200159,OK
Santa Cruz das Palmeiras,SP,SANTA CRUZ DAS PALMEIRAS/SP,3546306,OK
Pejuçara,RS,PEJUCARA/RS,4314308,OK
Severínia,SP,SEVERINIA/SP,3551900,OK
Manaus,AM,MANAUS/AM,1302603,OK
Ferraz de Vasconcelos,SP,FERRAZ DE VASCONCELOS/SP,3515707,OK
Ribeirão do Sul,SP,RIBEIRAO DO SUL/SP,3543204,OK
Mário Campos,MG,MARIO CAMPOS/MG,3140159,OK
Jacarezinho,PR,JACAREZINHO/PR,4111803,OK
Atibaia,SP,ATIBAIA/SP,3504107,OK
Belém,PA,BELEM/PA,1501402,OK
Alto Paraná,PR,ALTO PARANA/PR,4100608,OK
Ibema,PR,IBEMA/PR,4109757,OK
São Gonçalo do Sapucaí,MG,SAO GONCALO DO SAPUCAI/MG,3162005,OK
Gentil,RS,GENTIL/RS,4308854,OK
Porto Ferreira,SP,PORTO FERREIRA/SP,3540705,OK
Borebi,SP,BOREBI/SP,3507456,OK
Ibaiti,PR,IBAITI/PR,4109708,OK
Ubá,MG,UBA/MG,3169901,OK
Nhandeara,SP,NHANDEARA/SP,3532603,OK
Pilões,RN,PILOES/RN,2410009,OK
Roca Sales,RS,ROCA SALES/RS,4315800,OK
Rio Claro,RJ,RIO CLARO/RJ,3304409,OK
Cristais Paulista,SP,CRISTAIS PAULISTA/SP,3513207,OK
Caruaru,PE,CARUARU/PE,2604106,OK
Cunha Porã,SC,CUNHA PORA/SC,4204707,OK
Nova Andradina,MS,NOVA ANDRADINA/MS,5006200,OK
Guatapará,SP,GUATAPARA/SP,3518859,OK
Sacramento,MG,SACRAMENTO/MG,3156908,OK
Surubim,PE,SURUBIM/PE,2614501,OK
Madre de Deus de Minas,MG,MADRE DE DEUS DE MINAS/MG,3139102,OK
Imbituba,SC,IMBITUBA/SC,4207304,OK
Paraguaçu Paulista,SP,PARAGUACU PAULISTA/SP,3535507,OK
Campo Bonito,PR,CAMPO BONITO/PR,4104055,OK
Porto União,SC,PORTO UNIAO/SC,4213609,OK
Entre Rios do Sul,RS,ENTRE RIOS DO SUL/RS,4306957,OK
Altônia,PR,ALTONIA/PR,4100509,OK
Moema,MG,MOEMA/MG,3142403,OK
São Pedro das Missões,RS,SAO PEDRO DAS MISSOES/RS,4319364,OK
Conceição do Mato Dentro,MG,CONCEICAO DO MATO DENTRO/MG,3117504,OK
Sairé,PE,SAIRE/PE,2612000,OK
Carmópolis,SE,CARMOPOLIS/SE,2801504,OK
Miracema,RJ,MIRACEMA/RJ,3303005,OK
Ermo,SC,ERMO/SC,4205191,OK
Cidade Ocidental,GO,CIDADE OCIDENTAL/GO,5205497,OK
Campinorte,GO,CAMPINORTE/GO,5204706,OK
Terra Roxa,SP,TERRA ROXA/SP,3554409,OK
Oratórios,MG,ORATORIOS/MG,3145851,OK
Cabo Frio,RJ,CABO FRIO/RJ,3300704,OK
São João do Itaperiú,SC,SAO JOAO DO ITAPERIU/SC,4216354,OK
Arroio dos Ratos,RS,ARROIO DOS RATOS/RS,4301107,OK
Albertina,MG,ALBERTINA/MG,3101409,OK
Taiaçu,SP,TAIACU/SP,3553104,OK
Brazópolis,MG,BRAZOPOLIS/MG,3108909,OK
Mococa,SP,MOCOCA/SP,3530508,OK
Nova Iguaçu de Goiás,GO,NOVA IGUACU DE GOIAS/GO,5214879,OK
Boa Esperança,PR,BOA ESPERANCA/PR,4103008,OK
Nova Campina,SP,NOVA CAMPINA/SP,3532827,OK
Ouro Fino,MG,OURO FINO/MG,3146008,OK
Doutor Camargo,PR,DOUTOR CAMARGO/PR,4107306,OK
Cachoeira de Minas,MG,CACHOEIRA DE MINAS/MG,3109709,OK
Paranapoema,PR,PARANAPOEMA/PR,4118303,OK
Porto Amazonas,PR,PORTO AMAZONAS/PR,4120101,OK
São Carlos do Ivaí,PR,SAO CARLOS DO IVAI/PR,4124608,OK
Guarapuava,PR,GUARAPUAVA/PR,4109401,OK
Ponto Belo,ES,PONTO BELO/ES,3204252,OK
Passagem,PB,PASSAGEM/PB,2510709,OK
Timóteo,MG,TIMOTEO/MG,3168705,OK
Pilar do Sul,SP,PILAR DO SUL/SP,3537909,OK
Planalto Alegre,SC,PLANALTO ALEGRE/SC,4213153,OK
Lauro de Freitas,BA,LAURO DE FREITAS/BA,2919207,OK
Assis Chateaubriand,PR,ASSIS CHATEAUBRIAND/PR,4102000,OK
Socorro,SP,SOCORRO/SP,3552106,OK
Lupionópolis,PR,LUPIONOPOLIS/PR,4113809,OK
Cordislândia,MG,CORDISLANDIA/MG,3119005,OK
Teodoro Sampaio,SP,TEODORO SAMPAIO/SP,3554300,OK
Veredinha,MG,VEREDINHA/MG,3171071,OK
Pariquera-Açu,SP,PARIQUERA ACU/SP,3536208,OK
Guaíba,RS,GUAIBA/RS,4309308,OK
Sapezal,MT,SAPEZAL/MT,5107875,OK
Itaipulândia,PR,ITAIPULANDIA/PR,4110953,OK
Saudade do Iguaçu,PR,SAUDADE DO IGUACU/PR,4126272,OK
Rochedo de Minas,MG,ROCHEDO DE MINAS/MG,3156205,OK
Itatiaia,RJ,ITATIAIA/RJ,3302254,OK
Nepomuceno,MG,NEPOMUCENO/MG,3144607,OK
Cássia,MG,CASSIA/MG,3115102,OK
Herval d'Oeste,SC,HERVAL D OESTE/SC,4206702,OK
Santo Antônio do Rio Abaixo,MG,SANTO ANTONIO DO RIO ABAIXO/MG,3160504,OK
São José do Calçado,ES,SAO JOSE DO CALCADO/ES,3204807,OK
Rio Brilhante,MS,RIO BRILHANTE/MS,5007208,OK
Jupiá,SC,JUPIA/SC,4209177,OK
Guaporema,PR,GUAPOREMA/PR,4109104,OK
Paraibuna,SP,PARAIBUNA/SP,3535606,OK
Pinheiral,RJ,PINHEIRAL/RJ,3303955,OK
Araporã,MG,ARAPORA/MG,3103751,OK
São José do Povo,MT,SAO JOSE DO POVO/MT,5107297,OK
Iturama,MG,ITURAMA/MG,3134400,OK
Vicentinópolis,GO,VICENTINOPOLIS/GO,5222054,OK
Santa Rosa de Lima,SC,SANTA ROSA DE LIMA/SC,4215604,OK
São José das Missões,RS,SAO JOSE DAS MISSOES/RS,4318457,OK
Ruy Barbosa,RN,RUY BARBOSA/RN,2411106,OK
Três Rios,RJ,TRES RIOS/RJ,3306008,OK
São Francisco de Paula,MG,SAO FRANCISCO DE PAULA/MG,3161205,OK
Ibirarema,SP,IBIRAREMA/SP,3519501,OK
Bom Jesus do Oeste,SC,BOM JESUS DO OESTE/SC,4202578,OK
Uruaçu,GO,URUACU/GO,5221601,OK
Serra Talhada,PE,SERRA TALHADA/PE,2613909,OK
Prata,PB,PRATA/PB,2512200,OK
Ourizona,PR,OURIZONA/PR,4117404,OK
Santa Luzia,PB,SANTA LUZIA/PB,2513406,OK
Maravilhas,MG,MARAVILHAS/MG,3139706,OK
Igrejinha,RS,IGREJINHA/RS,4310108,OK
São Brás do Suaçuí,MG,SAO BRAS DO SUACUI/MG,3160900,OK
Altinópolis,SP,ALTINOPOLIS/SP,3501004,OK
São Valentim do Sul,RS,SAO VALENTIM DO SUL/RS,4319711,OK
Muzambinho,MG,MUZAMBINHO/MG,3144102,OK
Santa Helena de Goiás,GO,SANTA HELENA DE GOIAS/GO,5219308,OK
Guaramirim,SC,GUARAMIRIM/SC,4206504,OK
Prados,MG,PRADOS/MG,3152709,OK
Dom Aquino,MT,DOM AQUINO/MT,5103601,OK
Nova Londrina,PR,NOVA LONDRINA/PR,4117107,OK
Nazário,GO,NAZARIO/GO,5214408,OK
Castelo,ES,CASTELO/ES,3201407,OK
Boa Vista do Incra,RS,BOA VISTA DO INCRA/RS,4302238,OK
Turvo,SC,TURVO/SC,4218806,OK
Inconfidentes,MG,INCONFIDENTES/MG,3130606,OK
Missal,PR,MISSAL/PR,4116059,OK
Minaçu,GO,MINACU/GO,5213087,OK
André da Rocha,RS,ANDRE DA ROCHA/RS,4300661,OK
Sul Brasil,SC,SUL BRASIL/SC,4217758,OK
Cachoeira Dourada,GO,CACHOEIRA DOURADA/GO,5204250,OK
Auriflama,SP,AURIFLAMA/SP,3504206,OK
Xangri-lá,RS,XANGRI LA/RS,4323804,OK
Pranchita,PR,PRANCHITA/PR,4120358,OK
Itapuí,SP,ITAPUI/SP,3522901,OK
São Sebastião,SP,SAO SEBASTIAO/SP,3550704,OK
Apiacá,ES,APIACA/ES,3200508,OK
Perobal,PR,PEROBAL/PR,4118857,OK
Canela,RS,CANELA/RS,4304408,OK
Rincão,SP,RINCAO/SP,3543709,OK
Timbaúba dos Batistas,RN,TIMBAUBA DOS BATISTAS/RN,2414308,OK
Cachoeiro de Itapemirim,ES,CACHOEIRO DE ITAPEMIRIM/ES,3201209,OK
Jeceaba,MG,JECEABA/MG,3135407,OK
Vitorino,PR,VITORINO/PR,4128708,OK
Getúlio Vargas,RS,GETULIO VARGAS/RS,4308904,OK
São Gabriel do Oeste,MS,SAO GABRIEL DO OESTE/MS,5007695,OK
Valente,BA,VALENTE/BA,2933000,OK
Piraquara,PR,PIRAQUARA/PR,4119509,OK
Atílio Vivácqua,ES,ATILIO VIVACQUA/ES,3200706,OK
Ponte Branca,MT,PONTE BRANCA/MT,5106703,OK
Piranhas,AL,PIRANHAS/AL,2707107,OK
Foz do Jordão,PR,FOZ DO JORDAO/PR,4108452,OK
Benedito Novo,SC,BENEDITO NOVO/SC,4202206,OK
Recreio,MG,RECREIO/MG,3154101,OK
Tiradentes,MG,TIRADENTES/MG,3168804,OK
São José do Ouro,RS,SAO JOSE DO OURO/RS,4318606,OK
São Luís de Montes Belos,GO,SAO LUIS DE MONTES BELOS/GO,5220108,OK
Coronel Barros,RS,CORONEL BARROS/RS,4305871,OK
Perdigão,MG,PERDIGAO/MG,3149705,OK
Cananéia,SP,CANANEIA/SP,3509908,OK
Nova América da Colina,PR,NOVA AMERICA DA COLINA/PR,4116604,OK
Colinas do Tocantins,TO,COLINAS DO TOCANTINS/TO,1705508,OK
Presidente Getúlio,SC,PRESIDENTE GETULIO/SC,4214003,OK
Montividiu,GO,MONTIVIDIU/GO,5213756,OK
Santo Antônio do Amparo,MG,SANTO ANTONIO DO AMPARO/MG,3159902,OK
Itacuruba,PE,ITACURUBA/PE,2607406,OK
Ponte Nova,MG,PONTE NOVA/MG,3152105,OK
Maripá,PR,MARIPA/PR,4115358,OK
Mercês,MG,MERCES/MG,3141603,OK
Itaberaí,GO,ITABERAI/GO,5210406,OK
Maratá,RS,MARATA/RS,4311791,OK
Santo Antônio do Planalto,RS,SANTO ANTONIO DO PLANALTO/RS,4317756,OK
Gravatal,SC,GRAVATAL/SC,4206207,OK
Iconha,ES,ICONHA/ES,3202603,OK
Mato Queimado,RS,MATO QUEIMADO/RS,4312179,OK
Francisco Morato,SP,FRANCISCO MORATO/SP,3516309,OK
Campo Largo,PR,CAMPO LARGO/PR,4104204,OK
Venda Nova do Imigrante,ES,VENDA NOVA DO IMIGRANTE/ES,3205069,OK
Cariacica,ES,CARIACICA/ES,3201308,OK
Juazeiro do Piauí,PI,JUAZEIRO DO PIAUI/PI,2205516,OK
Cambuquira,MG,CAMBUQUIRA/MG,3110707,OK
Quartel Geral,MG,QUARTEL GERAL/MG,3153707,OK
Itumbiara,GO,ITUMBIARA/GO,5211503,OK
Córrego Danta,MG,CORREGO DANTA/MG,3119807,OK
Barra Velha,SC,BARRA VELHA/SC,4202107,OK
Ibicaré,SC,IBICARE/SC,4206801,OK
Coromandel,MG,COROMANDEL/MG,3119302,OK
Piedade de Ponte Nova,MG,PIEDADE DE PONTE NOVA/MG,3150208,OK
Catuípe,RS,CATUIPE/RS,4305009,OK
Quixaba,PE,QUIXABA/PE,2611533,OK
Boa Esperança do Sul,SP,BOA ESPERANCA DO SUL/SP,3506706,OK
Santa Luzia,MG,SANTA LUZIA/MG,3157807,OK
São Sebastião da Vargem Alegre,MG,SAO SEBASTIAO DA VARGEM ALEGRE/MG,3164431,OK
Antônio Prado,RS,ANTONIO PRADO/RS,4300802,OK
Lavínia,SP,LAVINIA/SP,3526506,OK
Rio Bom,PR,RIO BOM/PR,4122107,OK
Itiruçu,BA,ITIRUCU/BA,2916906,OK
Engenheiro Beltrão,PR,ENGENHEIRO BELTRAO/PR,4107504,OK
Campos Gerais,MG,CAMPOS GERAIS/MG,3111606,OK
Congonhal,MG,CONGONHAL/MG,3117900,OK
João Ramalho,SP,JOAO RAMALHO/SP,3525607,OK
Siqueira Campos,PR,SIQUEIRA CAMPOS/PR,4126603,OK
Grandes Rios,PR,GRANDES RIOS/PR,4108700,OK
Mairipotaba,GO,MAIRIPOTABA/GO,5212600,OK
Dom Cavati,MG,DOM CAVATI/MG,3122504,OK
Rio Branco,AC,RIO BRANCO/AC,1200401,OK
São Tomé das Letras,MG,SAO TOME DAS LETRAS/MG,3165206,OK
São João da Urtiga,RS,SAO JOAO DA URTIGA/RS,4318424,OK
Tapiraí,MG,TAPIRAI/MG,3168200,OK
Caranaíba,MG,CARANAIBA/MG,3113107,OK
Vargem Alta,ES,VARGEM ALTA/ES,3205036,OK
Paulo Bento,RS,PAULO BENTO/RS,4314134,OK
Leoberto Leal,SC,LEOBERTO LEAL/SC,4209805,OK
Tapera,RS,TAPERA/RS,4321006,OK
Manhuaçu,MG,MANHUACU/MG,3139409,OK
Timbé do Sul,SC,TIMBE DO SUL/SC,4218103,OK
São Mateus do Sul,PR,SAO MATEUS DO SUL/PR,4125605,OK
Canoas,RS,CANOAS/RS,4304606,OK
Nova União,MG,NOVA UNIAO/MG,3136603,OK
Araquari,SC,ARAQUARI/SC,4201307,OK
Nicolau Vergueiro,RS,NICOLAU VERGUEIRO/RS,4312674,OK
Capanema,PR,CAPANEMA/PR,4104501,OK
Goiandira,GO,GOIANDIRA/GO,5208509,OK
Sapucaí-Mirim,MG,SAPUCAI MIRIM/MG,3165404,OK
Córrego do Ouro,GO,CORREGO DO OURO/GO,5205703,OK
Triunfo,PB,TRIUNFO/PB,2516805,OK
Jauru,MT,JAURU/MT,5105002,OK
Itamogi,MG,ITAMOGI/MG,3132909,OK
Pontal do Araguaia,MT,PONTAL DO ARAGUAIA/MT,5106653,OK
Pombal,PB,POMBAL/PB,2512101,OK
Várzea,RN,VARZEA/RN,2414704,OK
Rolador,RS,ROLADOR/RS,4315958,OK
Pau dos Ferros,RN,PAU DOS FERROS/RN,2409407,OK
Santa Lúcia,SP,SANTA LUCIA/SP,3546900,OK
Armazém,SC,ARMAZEM/SC,4201505,OK
Itabi,SE,ITABI/SE,2803104,OK
Mairinque,SP,MAIRINQUE/SP,3528403,OK
Alegria,RS,ALEGRIA/RS,4300455,OK
São Valentim,RS,SAO VALENTIM/RS,4319703,OK
Junco do Seridó,PB,JUNCO DO SERIDO/PB,2507804,OK
Guaporé,RS,GUAPORE/RS,4309407,OK
Caicó,RN,CAICO/RN,2402006,OK
Biguaçu,SC,BIGUACU/SC,4202305,OK
Santo Cristo,RS,SANTO CRISTO/RS,4317905,OK
Arambaré,RS,ARAMBARE/RS,4300851,OK
São Roque,SP,SAO ROQUE/SP,3550605,OK
Santa Rita de Caldas,MG,SANTA RITA DE CALDAS/MG,3159209,OK
Loanda,PR,LOANDA/PR,4113502,OK
Barracão,PR,BARRACAO/PR,4102604,OK
Taquarivaí,SP,TAQUARIVAI/SP,3553856,OK
Ouro Branco,RN,OURO BRANCO/RN,2408508,OK
Estrela do Sul,MG,ESTRELA DO SUL/MG,3124807,OK
Mafra,SC,MAFRA/SC,4210100,OK
Rancharia,SP,RANCHARIA/SP,3542206,OK
Itauçu,GO,ITAUCU/GO,5211404,OK
Camocim de São Félix,PE,CAMOCIM DE SAO FELIX/PE,2603504,OK
Jaguapitã,PR,JAGUAPITA/PR,4111902,OK
Jati,CE,JATI/CE,2307205,OK
Conceição do Rio Verde,MG,CONCEICAO DO RIO VERDE/MG,3117702,OK
Corumbataí,SP,CORUMBATAI/SP,3512704,OK
Faxinal dos Guedes,SC,FAXINAL DOS GUEDES/SC,4205308,OK
Bozano,RS,BOZANO/RS,4302584,OK
Matozinhos,MG,MATOZINHOS/MG,3141108,OK
Lauro Müller,SC,LAURO MULLER/SC,4209607,OK
Rifaina,SP,RIFAINA/SP,3543600,OK
Modelo,SC,MODELO/SC,4210902,OK
Goioerê,PR,GOIOERE/PR,4108601,OK
Salgueiro,PE,SALGUEIRO/PE,2612208,OK
Santos Dumont,MG,SANTOS DUMONT/MG,3160702,OK
Areial,PB,AREIAL/PB,2501203,OK
Alvinópolis,MG,ALVINOPOLIS/MG,3102308,OK
Colinas,RS,COLINAS/RS,4305587,OK
Iguatu,CE,IGUATU/CE,2305506,OK
Olho d'Água do Borges,RN,OLHO D AGUA DO BORGES/RN,2408409,OK
Casa Branca,SP,CASA BRANCA/SP,3510807,OK
Caraguatatuba,SP,CARAGUATATUBA/SP,3510500,OK
Braço do Norte,SC,BRACO DO NORTE/SC,4202800,OK
Pérola d'Oeste,PR,PEROLA D OESTE/PR,4119004,OK
Miguelópolis,SP,MIGUELOPOLIS/SP,3529708,OK
Franco da Rocha,SP,FRANCO DA ROCHA/SP,3516408,OK
Chiapetta,RS,CHIAPETTA/RS,4305405,OK
Lages,SC,LAGES/SC,4209300,OK
Recife,PE,RECIFE/PE,2611606,OK
Ilhota,SC,ILHOTA/SC,4207106,OK
Venâncio Aires,RS,VENANCIO AIRES/RS,4322608,OK
Porteirão,GO,PORTEIRAO/GO,5218052,OK
Eldorado do Sul,RS,ELDORADO DO SUL/RS,4306767,OK
Camanducaia,MG,CAMANDUCAIA/MG,3110509,OK
Acari,RN,ACARI/RN,2400109,OK
Faxinal,PR,FAXINAL/PR,4107603,OK
Boa Esperança,MG,BOA ESPERANCA/MG,3107109,OK
Barra do Rio Azul,RS,BARRA DO RIO AZUL/RS,4301925,OK
Paraíso do Norte,PR,PARAISO DO NORTE/PR,4118006,OK
Flor do Sertão,SC,FLOR DO SERTAO/SC,4205357,OK
Chopinzinho,PR,CHOPINZINHO/PR,4105409,OK
Constantina,RS,CONSTANTINA/RS,4305801,OK
Araçu,GO,ARACU/GO,5201603,OK
Caratinga,MG,CARATINGA/MG,3113404,OK
Santa Maria,RS,SANTA MARIA/RS,4316907,OK
Porangatu,GO,PORANGATU/GO,5218003,OK
Camacho,MG,CAMACHO/MG,3110400,OK
Alvorada do Sul,PR,ALVORADA DO SUL/PR,4100806,OK
Goiatuba,GO,GOIATUBA/GO,5209101,OK
